Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Código localidad,Localidad,Departamento,Mail,,,,Ed. Adultos,Ed. Artística,Ed. Hospitalaria Domiciliaria,Ed. Intercultural Bilingüe,Ed. Contexto de Encierro,Jardín maternal,Inicial,Primaria,Secundaria,Secundaria Técnica (INET),Superior no Universitario,Superior No Universitario (INET),Secundaria,Superior no Universitario,Cursos y Talleres,Educación Temprana,Inicial,Primaria,Secundaria,Integración,Primaria,EGB3,Secundaria,Alfabetización,Formación Profesional,Formación Profesional (INET),Inicial,Primaria,Secundaria,Servicios complementarios
Buenos Aires,61374001,ANEXO DE INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Nº166,Estatal,Rural,SARMIENTO ESQ. SAN MARTÍN 400,7003,249,442-3837,6791037,MARIA IGNACIA,TANDIL,escuelanormaltandil@gmail.com,normaltandil@ciudad.com.ar,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Buenos Aires,61005401,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº1,Estatal,Urbano,BELGRANO 553,7000,249,443-8668,6791044,TANDIL,TANDIL,secundaria.anexo3011@gmail.com,laurabfigueroa@yahoo.com.ar,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61075101,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº2,Estatal,Urbano,AMEGHINO E/ QUINTANA Y VTE.LOPEZ 355 VILLA ITALIA,7000,249,445-3995,6791044,TANDIL,TANDIL,secundaria2tandil@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62390701,ANEXO I DE LA ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº6,Estatal,Rural,L N. ALEM. ESTACION FULTON 285,7007,249,4442637/33,6791022,FULTON,TANDIL,tecnica2fulton@live.com.ar,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61518400,C.E.A.T. Nº1 MATER,Estatal,Urbano,GARIBALDI 743,7000,2293,43-4805,6791044,TANDIL,TANDIL,atditandil@hotmail.com,mcuburu@abc.gob.ar,oet1020001@abc.gov.ar,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Buenos Aires,61006301,CENTRO DE ADULTOS Nº703,Estatal,Urbano,URIBURU 1569,7000,249,443-3745,6791044,TANDIL,TANDIL,nucleamiento1ttandil@gmail.com,dc102703@abc.gov.ar,dc102703@abc.gov.ar,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Buenos Aires,60424801,CENTRO DE ADULTOS Nº706,Estatal,Urbano,PJE. SALCEDA 724 VILLA GAUCHO,7000,2494,43-4025,6791044,TANDIL,TANDIL,odc1020706@abc.gov.ar,nucleamiento03@gmail.com,odc1020706@abc.gov.ar,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Buenos Aires,61006302,CENTRO DE ADULTOS Nº707,Estatal,Urbano,LAS HERAS 874,7000,249,443-3785,6791044,TANDIL,TANDIL,nucleamiento1ttandil@gmail.com,dc102707@abc.gov.ar,dc102707@abc.gov.ar,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Buenos Aires,61006303,CENTRO DE ADULTOS Nº708,Estatal,Urbano,LAS HERAS 1150,7000,249,443-3785,6791044,TANDIL,TANDIL,nucleamiento1ttandil1@gmail.com,dc102708@abc.gov.ar,dc102708@abc.gov.ar,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Buenos Aires,60521401,CENTRO DE ADULTOS Nº709,Estatal,Urbano,LA PASTORA Y MISIONES 590,7000,249,443-3723,6791044,TANDIL,TANDIL,odc1020709@abc.gov.ar,alicia1manterola@gmail.com,odc1020709@abc.gov.ar,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
